StartDate,EndDate,Duration (in seconds),RecordedDate,Q258,welcome,osviq-spatial-1,osviq-verbal-1,osviq-spatial-2,osviq-verbal-2,osviq-spatial-3,osviq-object-1,osviq-spatial-4,osviq-verbal-3,osviq-verbal-4,osviq-spatial-5,osviq-object-2,osviq-object-3,osviq-object-4,osviq-spatial-6,osviq-object-5,osviq-verbal-5,osviq-spatial-7,osviq-object-6,osivq-catch-1,osviq-verbal-6,osviq-object-7,osviq-verbal-7,osviq-verbal-8,osviq-object-8,osviq-verbal-9,osviq-spatial-8,osviq-object-9,osviq-spatial-9,osviq-verbal-10,osviq-object-10,osviq-spatial-10,osviq-spatial-11,osviq-spatial-12,osviq-object-11,osviq-object-12,osviq-verbal-11,osviq-verbal-12,osivq-catch-2,osviq-verbal-13,osviq-spatial-13,osviq-verbal-14,osviq-object-13,osviq-verbal-15,osviq-spatial-14,osviq-object-14,osviq-spatial-15,osviq-object-15,vviq1,vviq2,vviq3,vviq4,vviq5,vviq6,vviq7,vviq8,vviq9,vviq10,vviq11,vviq12,vviq13,vviq14,vviq15,vviq16,irq-visual-1,irq-visual-2,irq-visual-3,irq-visual-4,irq-visual-5,irq-visual-6,irq-visual-7,irq-visual-8,irq-visual-9,irq-visual-10,irq-verbal-1,irq-verbal-2,irq-verbal-3,irq-verbal-4,irq-verbal-5,irq-verbal-6,irq-verbal-7,irq-verbal-8,irq-verbal-9,irq-verbal-10,irq-verbal-11,irq-verbal-12,irq-ortho-1,irq-ortho-2,irq-ortho-3,irq-ortho-4,irq-ortho-5,irq-ortho-6,irq-ortho-7,irq-manipulation-1,irq-manipulation-2,irq-manipulation-3,irq-manipulation-4,irq-manipulation-5,irq-manipulation-6,irq-manipulation-7,irq-manipulation-8,irq-catch-1,phenomenology,phenomenology_6_TEXT,previousParticipatio,age,gender,gender_5_TEXT,handedness,immigrationStatus,vision,vision_3_TEXT,native-language,education,feedback-task,strategy-cat,strategy-open,feedback-general
Start Date,End Date,Duration (in seconds),Recorded Date,"Welcome to the second part of the experiment! This part should take about 10 minutes to complete.



Please enter your participant ID (NOT YOUR PROLIFIC ID!) from the first part of the experiment. Otherwise, we won't be able to keep track of your participation.",Please enter your Prolific ID below.,"I was very good in 3D geometry as a student. (1 - Strongly Disagree, 5 - Strongly Agree)","I have difficulty expressing myself in writing. (1 - Strongly Disagree, 5 - Strongly Agree)","If I were asked to choose between engineering professions and visual arts, I would prefer engineering. (1 - Strongly Disagree, 5 - Strongly Agree)","My verbal abilities would make a career in language arts relatively easy for me. (1 - Strongly Disagree, 5 - Strongly Agree)","Architecture interests me more than painting. (1 - Strongly Disagree, 5 - Strongly Agree)","My mental images are very colourful and bright. (1 - Strongly Disagree, 5 - Strongly Agree)","I prefer schematic diagrams and sketches when reading a textbook instead of colourful and pictorial illustrations. (1 - Strongly Disagree, 5 - Strongly Agree)","I tell jokes and stories better than most people. (1 - Strongly Disagree, 5 - Strongly Agree)","Essay writing is difficult for me and I do not enjoy doing it at all. (1 - Strongly Disagree, 5 - Strongly Agree)","My mental images are more like schematic representations of things and events rather than like detailed pictures. (1 - Strongly Disagree, 5 - Strongly Agree)","When reading fiction, I usually form a clear and detailed mental picture of a scene or room that has been described. (1 - Strongly Disagree, 5 - Strongly Agree)","If I were asked to choose among engineering professions, or visual arts, I would choose visual arts. (1 - Strongly Disagree, 5 - Strongly Agree)","I have a photographic memory. (1 - Strongly Disagree, 5 - Strongly Agree)","I can easily imagine and mentally rotate three-dimensional geometric figures. (1 - Strongly Disagree, 5 - Strongly Agree)","I enjoy pictures with bright colours and unusual shapes like the ones in modern art. (1 - Strongly Disagree, 5 - Strongly Agree)","My verbal skills are excellent. (1 - Strongly Disagree, 5 - Strongly Agree)","When thinking about an abstract concept (or building),I imagine an abstract schematic building in my mind or its blueprint rather than a specific concrete building. (1 - Strongly Disagree, 5 - Strongly Agree)","When entering a familiar store to get a specific item, I can easily picture the exact location of the target item, the shelf it stands on, how it is arranged and the surrounding articles. (1 - Strongly Disagree, 5 - Strongly Agree)","Most people have five legs. (1 - Strongly Disagree, 5 - Strongly Agree)","Putting together furniture kits (e.g. a TV stand or a chair)is much easier for me when I have detailed verbal instructions than when I only have a diagram or picture. (1 - Strongly Disagree, 5 - Strongly Agree)","My mental images are very vivid and photographic. (1 - Strongly Disagree, 5 - Strongly Agree)","When explaining something, I would rather give verbal explanations than make drawings or sketches. (1 - Strongly Disagree, 5 - Strongly Agree)","If someone were to give me two-digit numbers to add (e.g. 43 and 32) I would simply do the adding without visualizing the numbers. (1 - Strongly Disagree, 5 - Strongly Agree)","My mental images of different objects very much resemble the size, shape and colour of actual objects that I have seen. (1 - Strongly Disagree, 5 - Strongly Agree)","I usually do not try to visualize or sketch diagrams when reading a textbook. (1 - Strongly Disagree, 5 - Strongly Agree)","I normally do not experience many spontaneous vivid images; I use my mental imagery mostly when attempting to solve some problems like the ones in mathematics. (1 - Strongly Disagree, 5 - Strongly Agree)","When I imagine the face of a friend, I have a perfectly clear and bright image. (1 - Strongly Disagree, 5 - Strongly Agree)","I have excellent abilities in technical graphics. (1 - Strongly Disagree, 5 - Strongly Agree)","When remembering a scene, I use verbal descriptions rather than mental pictures. (1 - Strongly Disagree, 5 - Strongly Agree)","I can easily remember a great deal of visual details that someone else might never notice. For example, I would just automatically take some things in, like what colour is a shirt someone wears or what colour are his/her shoes. (1 - Strongly Disagree, 5 - Strongly Agree)","I can easily sketch a blueprint for a building I am familiar with. (1 - Strongly Disagree, 5 - Strongly Agree)","In school, I had no problems with geometry. (1 - Strongly Disagree, 5 - Strongly Agree)","I am good in playing spatial games involving constructing from blocks and paper (e.g. Lego, Tetris, Origami). (1 - Strongly Disagree, 5 - Strongly Agree)","Sometimes my mental images are so vivid and persistent that it is difficult to ignore them. (1 - Strongly Disagree, 5 - Strongly Agree)","I can close my eyes and easily picture a scene that I have experienced. (1 - Strongly Disagree, 5 - Strongly Agree)","I have better than average fluency in using words. (1 - Strongly Disagree, 5 - Strongly Agree)","I would rather have a verbal description of an object or person than a picture. (1 - Strongly Disagree, 5 - Strongly Agree)","Elephants are larger than dogs. (1 - Strongly Disagree, 5 - Strongly Agree)","I am always aware of sentence structure. (1 - Strongly Disagree, 5 - Strongly Agree)","My mental images are more schematic than colourful and pictorial. (1 - Strongly Disagree, 5 - Strongly Agree)","I enjoy being able to rephrase my thoughts in many ways for variety’s sake in both writing and speaking. (1 - Strongly Disagree, 5 - Strongly Agree)","I remember everything visually. I can recount what people wore to a dinner and I can talk about the way they sat and the way they looked probably in more detail than I could discuss what they said. (1 - Strongly Disagree, 5 - Strongly Agree)","I sometimes have a problem expressing exactly what I want to say. (1 - Strongly Disagree, 5 - Strongly Agree)","I find it difficult to imagine how a three-dimensional geometric figure would exactly look like when rotated. (1 - Strongly Disagree, 5 - Strongly Agree)","My visual images are in my head all the time. They are just right there. (1 - Strongly Disagree, 5 - Strongly Agree)","My graphic abilities would make a career in architecture relatively easy for me. (1 - Strongly Disagree, 5 - Strongly Agree)","When I hear a radio announcer or a DJ I’ve never actually seen, I usually find myself picturing what he or she might look like. (1 - Strongly Disagree, 5 - Strongly Agree)","The exact contour of face, head, shoulders, and body","Characteristic poses of head, attitudes of body, etc.","The precise carriage, length of step, etc. in walking",The different colors worn in some familiar clothes,The sun is rising above the horizon into a hazy sky.,The sky clears and surrounds the sun with blueness.,"Clouds. A storm blows up, with flashes of lightening.",A rainbow appears.,The overall appearance of the shop from the opposite side of the road,"A window display including colors, shape, and details of individual items for sale","You are near the entrance. The color, shape, and details of the door",You enter the shop and go to the counter. The counter assistant serves you. Money changes hands.,The contours of the landscape,The color and shape of the trees,The color and shape of the lake,A strong wind blows on the tree and on the lake causing waves.,"I often enjoy the use of mental pictures to reminisce. (1 - Strongly Disagree, 5 - Strongly Agree)","I can close my eyes and easily picture a scene that I have experienced. (1 - Strongly Disagree, 5 - Strongly Agree)","My mental images are very vivid and photographic. (1 - Strongly Disagree, 5 - Strongly Agree)","The old saying “A picture is worth a thousand words” is certainly true for me
. (1 - Strongly Disagree, 5 - Strongly Agree)","When I think about someone I know well, I instantly see their face in my mind. (1 - Strongly Disagree, 5 - Strongly Agree)","I often use mental images or pictures to help me remember things. (1 - Strongly Disagree, 5 - Strongly Agree)","My memories are mainly visual in nature. (1 - Strongly Disagree, 5 - Strongly Agree)","When traveling to get to somewhere I tend to think more visually than verbally. (1 - Strongly Disagree, 5 - Strongly Agree)","If I talk to myself in my head it is usually accompanied by visual imagery. (1 - Strongly Disagree, 5 - Strongly Agree)","If I imagine my memories visually they are more often static than moving. (1 - Strongly Disagree, 5 - Strongly Agree)","When I think about someone I know well, I instantly hear their voice in my mind. (1 - Strongly Disagree, 5 - Strongly Agree)","I think about problems in my mind in the form of a conversation with myself. (1 - Strongly Disagree, 5 - Strongly Agree)","If I am walking somewhere by myself, I often have a silent conversation with myself. (1 - Strongly Disagree, 5 - Strongly Agree)","If I am walking somewhere by myself, I frequently think of conversations that I’ve recently had. (1 - Strongly Disagree, 5 - Strongly Agree)","My inner speech helps my imagination. (1 - Strongly Disagree, 5 - Strongly Agree)","I tend to think things through verbally when I am relaxing. (1 - Strongly Disagree, 5 - Strongly Agree)","When thinking about a social problem, I often talk it through in my head. (1 - Strongly Disagree, 5 - Strongly Agree)","I like to give myself some down time to talk through thoughts in my mind. (1 - Strongly Disagree, 5 - Strongly Agree)","I hear words in my ""mind’s ear"" when I think. (1 - Strongly Disagree, 5 - Strongly Agree)","I rarely vocalize thoughts in my mind. (1 - Strongly Disagree, 5 - Strongly Agree)","I often talk to myself internally while watching TV. (1 - Strongly Disagree, 5 - Strongly Agree)","My memories often involve conversations I’ve had. (1 - Strongly Disagree, 5 - Strongly Agree)","I find it easy to decide if words rhyme by seeing their spelling in my mind's eye. (1 - Strongly Disagree, 5 - Strongly Agree)","When I hear someone talking, I see words written down in my mind. (1 - Strongly Disagree, 5 - Strongly Agree)","I see words in my ""mind’s eye"" when I think. (1 - Strongly Disagree, 5 - Strongly Agree)","When I am introduced to someone for the first time, I imagine what their name would look like when written down. (1 - Strongly Disagree, 5 - Strongly Agree)","A strategy I use to help me remember written material is imagining what the writing looks like. (1 - Strongly Disagree, 5 - Strongly Agree)","I hear a running summary of everything I am doing in my head. (1 - Strongly Disagree, 5 - Strongly Agree)","I rehearse in my mind how someone might respond to a text message before I send it. (1 - Strongly Disagree, 5 - Strongly Agree)","I can easily imagine and mentally rotate three-dimensional geometric figures. (1 - Strongly Disagree, 5 - Strongly Agree)","I can easily choose to imagine this sentence in my mind pronounced unnaturally slowly. (1 - Strongly Disagree, 5 - Strongly Agree)","In school, I had no problems with geometry. (1 - Strongly Disagree, 5 - Strongly Agree)","It is easy for me to imagine the sensation of licking a brick. (1 - Strongly Disagree, 5 - Strongly Agree)","I find it difficult to imagine how a three-dimensional geometric figure would exactly look like when rotated. (1 - Strongly Disagree, 5 - Strongly Agree)","I can easily imagine someone clearly talking, and then imagine the same voice with a heavy cold. (1 - Strongly Disagree, 5 - Strongly Agree)","I think I have a large vocabulary in my native language compared to others. (1 - Strongly Disagree, 5 - Strongly Agree)","I can easily imagine the sound of a trumpet getting louder. (1 - Strongly Disagree, 5 - Strongly Agree)","The word ‘hotel’ has three letters. (1 - Strongly Disagree, 5 - Strongly Agree)",How do you think? - Selected Choice,How do you think? - Other - Text,Have you seen this study before?,How old are you?,What is your gender? - Selected Choice,What is your gender? - Prefer to self-describe - Text,Which is your dominant hand?,Have you ever been diagnosed with any of the following conditions? (Choose all that apply),Do you see normally (either with or without corrective lenses)? - Selected Choice,"Do you see normally (either with or without corrective lenses)? - If you answered ""no"" please explain why. - Text",Are you a native English speaker?,What is the highest degree or level of school you have completed?,What did you think the study was about?,Where you visualizing the content conveyed by sentences in the first part of the study (sentence-picture task)?,"If you answered ""No"" to the previous question, what strategy where you using?",Do you have any other feedback or thoughts about the experiment? (Optional)
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""duration""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""QID814_TEXT""}","{""ImportId"":""QID480_TEXT""}","{""ImportId"":""QID903""}","{""ImportId"":""QID904""}","{""ImportId"":""QID905""}","{""ImportId"":""QID906""}","{""ImportId"":""QID907""}","{""ImportId"":""QID908""}","{""ImportId"":""QID909""}","{""ImportId"":""QID910""}","{""ImportId"":""QID911""}","{""ImportId"":""QID912""}","{""ImportId"":""QID913""}","{""ImportId"":""QID914""}","{""ImportId"":""QID915""}","{""ImportId"":""QID916""}","{""ImportId"":""QID917""}","{""ImportId"":""QID918""}","{""ImportId"":""QID919""}","{""ImportId"":""QID920""}","{""ImportId"":""QID1316390628""}","{""ImportId"":""QID921""}","{""ImportId"":""QID922""}","{""ImportId"":""QID923""}","{""ImportId"":""QID924""}","{""ImportId"":""QID925""}","{""ImportId"":""QID926""}","{""ImportId"":""QID927""}","{""ImportId"":""QID928""}","{""ImportId"":""QID929""}","{""ImportId"":""QID930""}","{""ImportId"":""QID931""}","{""ImportId"":""QID932""}","{""ImportId"":""QID933""}","{""ImportId"":""QID934""}","{""ImportId"":""QID935""}","{""ImportId"":""QID936""}","{""ImportId"":""QID937""}","{""ImportId"":""QID938""}","{""ImportId"":""QID952""}","{""ImportId"":""QID939""}","{""ImportId"":""QID940""}","{""ImportId"":""QID941""}","{""ImportId"":""QID942""}","{""ImportId"":""QID943""}","{""ImportId"":""QID944""}","{""ImportId"":""QID945""}","{""ImportId"":""QID946""}","{""ImportId"":""QID947""}","{""ImportId"":""QID640""}","{""ImportId"":""QID636""}","{""ImportId"":""QID637""}","{""ImportId"":""QID638""}","{""ImportId"":""QID641""}","{""ImportId"":""QID642""}","{""ImportId"":""QID643""}","{""ImportId"":""QID644""}","{""ImportId"":""QID646""}","{""ImportId"":""QID647""}","{""ImportId"":""QID648""}","{""ImportId"":""QID649""}","{""ImportId"":""QID651""}","{""ImportId"":""QID652""}","{""ImportId"":""QID653""}","{""ImportId"":""QID654""}","{""ImportId"":""QID1316390589""}","{""ImportId"":""QID1316390590""}","{""ImportId"":""QID1316390591""}","{""ImportId"":""QID1316390592""}","{""ImportId"":""QID1316390593""}","{""ImportId"":""QID1316390594""}","{""ImportId"":""QID1316390595""}","{""ImportId"":""QID1316390596""}","{""ImportId"":""QID1316390597""}","{""ImportId"":""QID1316390598""}","{""ImportId"":""QID1316390599""}","{""ImportId"":""QID1316390600""}","{""ImportId"":""QID1316390601""}","{""ImportId"":""QID1316390602""}","{""ImportId"":""QID1316390603""}","{""ImportId"":""QID1316390604""}","{""ImportId"":""QID1316390605""}","{""ImportId"":""QID1316390606""}","{""ImportId"":""QID1316390607""}","{""ImportId"":""QID1316390608""}","{""ImportId"":""QID1316390609""}","{""ImportId"":""QID1316390610""}","{""ImportId"":""QID1316390611""}","{""ImportId"":""QID1316390612""}","{""ImportId"":""QID1316390613""}","{""ImportId"":""QID1316390614""}","{""ImportId"":""QID1316390615""}","{""ImportId"":""QID1316390616""}","{""ImportId"":""QID1316390617""}","{""ImportId"":""QID1316390618""}","{""ImportId"":""QID1316390619""}","{""ImportId"":""QID1316390620""}","{""ImportId"":""QID1316390621""}","{""ImportId"":""QID1316390622""}","{""ImportId"":""QID1316390623""}","{""ImportId"":""QID1316390624""}","{""ImportId"":""QID1316390625""}","{""ImportId"":""QID1316390626""}","{""ImportId"":""QID588""}","{""ImportId"":""QID588_9_TEXT""}","{""ImportId"":""QID568""}","{""ImportId"":""QID629_TEXT""}","{""ImportId"":""QID574""}","{""ImportId"":""QID574_6_TEXT""}","{""ImportId"":""QID570""}","{""ImportId"":""QID579""}","{""ImportId"":""QID587""}","{""ImportId"":""QID587_6_TEXT""}","{""ImportId"":""QID630""}","{""ImportId"":""QID781""}","{""ImportId"":""QID631_TEXT""}","{""ImportId"":""QID950""}","{""ImportId"":""QID951_TEXT""}","{""ImportId"":""QID633_TEXT""}"
2024-04-09 23:36:17,2024-04-09 23:46:45,627,2024-04-09 23:46:46,0zhjr0hs,66111585096bf9ae230a30fb,4,4,1,2,3,1,1,4,2,4,2,4,3,3,5,4,2,5,1,1,2,2,4,2,2,4,4,2,4,3,5,4,5,2,1,5,1,5,4,3,4,5,2,2,2,1,3,4,4,2,3,1,1,1,1,3,3,2,2,1,1,1,1,2,2,2,2,3,4,2,5,2,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,5,5,5,3,5,5,5,4,1,5,1,1,2,,2,21,1,,1,4,1,,1,2,"Different ways individuals think, whether in words, pictures, symbols.",2,"Taking a mental ""picture"" of the objects in the sentence, then comparing the picture to the one shown in the yes or no segment",
2024-04-09 23:43:40,2024-04-09 23:53:42,601,2024-04-09 23:53:43,hx8ph3ed,6393cc165ee481b84a567427,4,4,4,4,3,4,4,3,5,3,3,4,2,4,4,4,3,4,4,1,3,2,2,4,2,4,4,3,2,4,3,4,5,3,4,4,4,5,4,4,4,3,4,2,3,3,4,3,2,4,2,2,3,2,3,4,4,1,3,3,3,3,2,3,3,4,4,4,3,4,4,3,4,4,3,4,4,4,2,3,4,4,2,2,3,2,1,4,1,3,3,3,4,2,4,5,5,3,3,2,1,1,,2,26,2,,1,4,1,,1,4,"About how we interpret words, images and the world around us.",1,N/A,
2024-04-09 23:48:02,2024-04-09 23:57:30,568,2024-04-09 23:57:31,rxeup7ff,62e296cf7c53da981b7f32c0,4,2,4,3,4,4,5,3,2,4,4,4,2,2,4,3,2,4,1,3,2,4,4,3,3,3,3,3,3,2,3,2,4,3,3,3,3,5,3,2,3,3,4,3,4,3,4,3,3,4,4,2,2,3,2,4,2,4,2,4,2,3,3,4,3,3,4,4,4,3,4,3,3,4,4,2,4,4,3,3,5,2,3,2,4,3,3,2,2,4,3,4,3,3,2,3,4,4,2,4,1,1,,2,28,2,,1,2,1,,1,2,Remembering through visual images or writting.,1,N/A,More images
2024-04-09 23:41:42,2024-04-09 23:57:59,976,2024-04-09 23:58:00,cxxat1fj,65c251924cbab2f4b132bc7d,4,4,2,2,2,5,5,1,3,1,5,4,2,4,2,3,2,4,1,3,4,2,4,5,2,2,4,4,3,2,2,4,4,5,4,3,2,5,3,2,4,3,1,4,5,3,4,2,3,2,3,2,2,2,2,3,3,2,4,2,3,3,3,5,5,4,3,4,5,5,4,5,2,2,1,2,4,3,1,1,5,2,2,1,5,2,2,4,2,4,2,5,4,3,4,4,4,3,3,3,1,6,"I think of it more like abstract concepts - images yes, but also just the general concept of something, like a taste or smell?",2,25,1,,1,4,1,,1,4,Something about studying visual learners and visual memory associated with how fast you could recognize the words with the images from the start of the test?,2,Saying the words out loud,
2024-04-09 23:42:07,2024-04-10 00:01:02,1134,2024-04-10 00:01:03,kddy6crg,65ab080f996c80725dda3852,4,2,1,2,1,2,2,2,1,2,2,4,4,2,1,3,1,4,1,1,4,2,1,5,2,1,4,2,2,5,1,2,2,2,4,4,1,5,4,2,2,2,1,4,2,2,4,3,2,2,4,2,3,3,4,3,2,3,3,4,2,4,2,4,2,4,4,4,4,4,5,4,4,4,5,5,4,2,2,2,4,2,4,1,2,2,1,2,2,1,1,4,4,5,2,4,4,4,4,5,1,1,,2,48,2,,1,4,1,,1,2,I think the study was about memory or creative versus logical thinking patterns,1,Yes was my answer,
2024-04-09 23:52:48,2024-04-10 00:06:03,794,2024-04-10 00:06:03,f3jtxofp,65443c759a9fffdebcac56cd,5,3,4,3,3,3,3,3,1,4,5,3,2,5,5,3,3,3,1,5,4,2,1,4,1,5,4,4,1,5,4,4,4,3,4,3,1,5,5,3,5,4,1,1,5,3,4,3,2,3,3,3,5,5,3,3,3,2,3,3,5,5,5,5,4,4,5,4,4,5,5,4,4,2,5,5,5,5,4,4,3,4,5,4,4,5,4,4,4,4,5,4,5,5,5,4,5,5,3,5,1,2,,2,20,2,,1,4,1,,2,2,The way humans imagine and think,1,I answered yes,
2024-04-09 23:53:52,2024-04-10 00:08:40,887,2024-04-10 00:08:41,ylwwd4yq,654011b62802ee2b9aaa5456,5,5,4,3,4,4,3,2,2,4,4,2,2,4,1,4,3,4,1,2,4,2,4,4,2,4,4,4,2,4,4,5,5,4,3,4,2,5,4,4,4,3,3,5,4,4,3,2,3,3,2,2,2,3,3,2,2,3,3,2,3,3,2,4,3,3,4,3,3,2,2,3,2,4,4,5,5,5,4,4,4,4,5,4,4,2,2,2,3,3,3,4,5,4,5,4,5,4,5,4,1,3,,2,35,2,,1,4,1,,1,5,"how different people process past and current events differently. To what extent an inner monologue, or visual/photographic memories contribute (or play a part in) processing information.",2,"It took a few goes before I properly got the hang of things (eg. initially I didn't realise that the background/location of the object didn't matter - ie. for ""a tomato in a pizza"", I thought that a picture of a tomato slice would be a ""N"" because it didn't show a pizza).

After I got the hang of things, my strategy was: I mentally extracted the key noun (eg. tomato) (i.e. I left it in written form). When the picture was shown on the next page, I immediately analysed the picture to identify what noun it showed and compared this noun to the noun I had extracted from the sentence.",
2024-04-09 23:56:35,2024-04-10 00:08:49,733,2024-04-10 00:08:49,0a1mu6ef,65b81b628b0e5ea84ab27b07,3,4,4,3,4,4,2,2,4,3,3,2,1,2,4,4,1,1,1,4,3,4,1,4,2,2,4,2,2,2,1,2,2,2,4,4,2,5,4,1,3,1,3,2,4,2,5,2,2,4,3,2,3,2,4,3,4,3,3,4,2,2,3,3,4,3,3,4,4,3,3,4,2,1,5,4,4,4,3,4,3,1,5,4,3,4,1,2,3,4,3,4,2,2,2,5,2,1,4,1,1,3,,2,28,1,,1,4,1,,1,5,Very interesting. Thinking about the way I think makes me stop and really consider what is happening in my mind. I found it a bit disconcerting. ,1,N/A,
